rest_name,rest_address,time_open,price,avg_score,quality_score,price_score,service_score,space_score,location_score,link,Location,Cate,rest_id
"Vitamin Bar III - Sinh Tố, Ăn Vặt & Cá Viên Chiên","421 Nguyễn Thái Bình, Quận Tân Bình, TP. HCM",09:30 - 23:00,12.000 - 25.000,6.9,7.0,7.2,6.2,6.9,7.0,https://www.foody.vn/ho-chi-minh/vitamin-bar-iii-sinh-to-an-vat,TPHCM,An Vat Via He,23
Nhà Hàng Ngân Đình - Windsor Plaza,"Windsor Plaza, 18 An Dương Vương, Quận 5, TP. HCM",07:00 - 14:00 | 17:00 - 22:00,38.000 - 2.820.000,7.5,7.9,6.6,7.4,8.0,7.6,https://www.foody.vn/ho-chi-minh/nha-hang-ngan-dinh-windsor-plaza,TPHCM,Nha Hang,398
Nhà Hàng Ngân Đình - Windsor Plaza,"Windsor Plaza, 18 An Dương Vương, Quận 5, TP. HCM",07:00 - 14:00 | 17:00 - 22:00,38.000 - 2.820.000,7.5,7.9,6.6,7.4,8.0,7.6,https://www.foody.vn/ho-chi-minh/nha-hang-ngan-dinh-windsor-plaza,TPHCM,Sang Trong,398
Kissho - Nhà Hàng Nhật Bản,"14 Nguyễn Huệ, P. Bến Nghé, Quận 1, TP. HCM",11:00 - 23:00,300.000 - 1.100.000,7.7,7.8,6.3,8.0,8.1,8.2,https://www.foody.vn/ho-chi-minh/kissho,TPHCM,Nha Hang,913
Kissho - Nhà Hàng Nhật Bản,"14 Nguyễn Huệ, P. Bến Nghé, Quận 1, TP. HCM",11:00 - 23:00,300.000 - 1.100.000,7.7,7.8,6.3,8.0,8.1,8.2,https://www.foody.vn/ho-chi-minh/kissho,TPHCM,Sang Trong,913
Khu Du Lịch Bình Quới 3 - Quán Xưa,"1019 Bình Quới, P. 28, Quận Bình Thạnh, TP. HCM",10:00 - 23:00,50.000 - 495.000,,5.6,5.2,5.6,6.5,5.8,https://www.foody.vn/ho-chi-minh/khu-du-lich-binh-quoi-3-quan-xua,TPHCM,Nha Hang,1172
Đức Bảo Gartenstadt - Ẩm Thực Đức,"34 - 36 Đồng Khởi, P. Bến Nghé, Quận 1, TP. HCM",10:30 - 23:59,250.000 - 440.000,7.8,8.2,6.7,8.0,7.9,8.4,https://www.foody.vn/ho-chi-minh/duc-bao-gartenstadt,TPHCM,Nha Hang,944
Đức Bảo Gartenstadt - Ẩm Thực Đức,"34 - 36 Đồng Khởi, P. Bến Nghé, Quận 1, TP. HCM",10:30 - 23:59,250.000 - 440.000,7.8,8.2,6.7,8.0,7.9,8.4,https://www.foody.vn/ho-chi-minh/duc-bao-gartenstadt,TPHCM,Sang Trong,944
"Vitamin Bar IV - Sinh Tố, Ăn Vặt & Cá Viên Chiên","75B Thiên Phước, P. 15, Quận 11, TP. HCM",09:00 - 22:45,12.000 - 25.000,8.4,8.6,9.2,7.8,7.8,8.6,https://www.foody.vn/ho-chi-minh/vitamin-bar-iv-sinh-to-an-vat-ca-vien-chien,TPHCM,An Vat Via He,35
Khu Du Lịch Bình Quới 2,"Cuối Đường Bình Quới, P. 28, Quận Bình Thạnh, TP. HCM",17:00 - 21:00,150.000 - 275.000,6.4,6.2,6.0,6.1,7.3,6.4,https://www.foody.vn/ho-chi-minh/buffet-khu-du-lich-binh-quoi-2,TPHCM,Nha Hang,1169
Amigo Hữu Nghị Restaurant - Beefsteak & Grill,"55 - 57 Nguyễn Huệ, P. Bến Nghé, Quận 1, TP. HCM",11:00 - 23:00,200.000 - 880.000,7.9,8.2,7.0,8.0,7.8,8.4,https://www.foody.vn/ho-chi-minh/amigo-restaurant,TPHCM,Nha Hang,844
Amigo Hữu Nghị Restaurant - Beefsteak & Grill,"55 - 57 Nguyễn Huệ, P. Bến Nghé, Quận 1, TP. HCM",11:00 - 23:00,200.000 - 880.000,7.9,8.2,7.0,8.0,7.8,8.4,https://www.foody.vn/ho-chi-minh/amigo-restaurant,TPHCM,Sang Trong,844
Ốc Hoàng - Lê Thị Hồng,"40/40 Lê Thị Hồng, Quận Gò Vấp, TP. HCM",16:00 - 22:00,20.000 - 35.000,6.6,7.1,6.6,6.6,6.1,6.5,https://www.foody.vn/ho-chi-minh/oc-hoang-le-thi-hong,TPHCM,An Vat Via He,562
Gà Rán KFC - Bà Hom,"95 Bà Hom, P. 13, Quận 6, TP. HCM",09:00 - 22:00,30.000 - 88.000,7.1,7.5,6.8,7.3,6.9,7.2,https://www.foody.vn/ho-chi-minh/kfc-ba-hom,TPHCM,Nha Hang,434
Gà Rán KFC - Bà Hom,"95 Bà Hom, P. 13, Quận 6, TP. HCM",09:00 - 22:00,30.000 - 88.000,7.1,7.5,6.8,7.3,6.9,7.2,https://www.foody.vn/ho-chi-minh/kfc-ba-hom,TPHCM,Sang Trong,434
