,rest_name,rest_address,time_open,price,avg_score,quality_score,price_score,service_score,space_score,location_score,link,Location,Cate,rest_id
970,Meat & Meet Korean BBQ Container - Saigon Centre,"Tầng Hầm 2,  Saigon Centre, 65 Lê Lợi, P. Bến Nghé, Quận 1, TP. HCM",10:30 - 22:00,199.000 - 429.000,6.3,6.5,6.4,5.3,6.1,7.0,https://www.foody.vn/ho-chi-minh/meat-meet-korean-bbq-container-saigon-centre,TPHCM,Nha Hang,1066
971,Wrap&Roll - MPlaza Saigon,"Tầng Trệt,  Tầng Trệt, Mplaza Saigon, 39 Lê Duẩn, P. Bến Nghé, Quận 1, TP. HCM",10:00 - 21:00,40.000 - 165.000,7.1,6.9,6.7,6.9,7.4,7.9,https://www.foody.vn/ho-chi-minh/wrap-roll-mplaza-saigon,TPHCM,Nha Hang,89
972,Thai Express - Vincom Center,"Tầng B3 Vincom Center, 72 Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM",10:00 - 22:00,55.000 - 170.000,7.3,7.6,6.7,7.2,7.5,7.7,https://www.foody.vn/ho-chi-minh/thai-express-vincom-center,TPHCM,Nha Hang,1102
973,Wrap&Roll - Gigamall,"Tầng 3,  Tầng 3 Giga Mall, 240 PhạM Văn ĐồNg, P. HiệP BìNh CháNh, Tp. Thủ Đức, TP. HCM",10:00 - 21:00,45.000 - 250.000,6.0,5.6,7.0,5.1,5.6,6.8,https://www.foody.vn/ho-chi-minh/wrap-roll-giga-mall,TPHCM,Nha Hang,882
974,Wrap&Roll - Estella Place,"Tầng 3,  Tầng 3, Estella Place, 88 Song Hành, P. An Phú, Tp. Thủ Đức, TP. HCM",10:00 - 21:00,40.000 - 165.000,,5.0,4.3,3.3,6.2,8.2,https://www.foody.vn/ho-chi-minh/wrap-roll-estella-place,TPHCM,Nha Hang,853
975,Thai Express - Món Thái - Crescent Plaza,"105 Tôn Dật Tiên, P. Tân Phú, Quận 7, TP. HCM",11:00 - 20:00,55.000 - 170.000,7.2,7.3,6.6,7.4,7.3,7.6,https://www.foody.vn/ho-chi-minh/thai-express-mon-thai-crescent-plaza,TPHCM,Nha Hang,1173
976,Tasaki BBQ - Nướng Than Hoa Nhật Bản - Vincom Quang Trung,"Tầng Hầm 1,  Tầng B1, Vincom Quang Trung, 190 Quang Trung, P. 10, Quận Gò Vấp, TP. HCM",10:00 - 21:15,200.000 - 500.000,7.1,7.2,6.6,6.9,7.4,7.3,https://www.foody.vn/ho-chi-minh/tasaki-bbq-mon-nuong-nhat-ban-quang-trung,TPHCM,Nha Hang,1162
977,Thai Express - Món Thái - Phan Xích Long,"158 Phan Xích Long, P. 2, Quận Phú Nhuận, TP. HCM",11:00 - 20:00,55.000 - 170.000,6.8,6.9,6.3,6.8,6.9,7.2,https://www.foody.vn/ho-chi-minh/thai-express-mon-thai-phan-xich-long,TPHCM,Nha Hang,119
978,Thai Express - Món Thái - SC VivoCity,"Tầng 4,  Tầng 4 - SC VivoCity, 1058 Nguyễn Văn Linh, KP. 1, P. Tân Phong, Quận 7, TP. HCM",11:00 - 20:00,55.000 - 170.000,7.0,7.3,6.5,6.7,7.1,7.4,https://www.foody.vn/ho-chi-minh/thai-express-mon-thai-sc-vivocity,TPHCM,Nha Hang,64
979,Tasaki BBQ - Nướng Than Hoa Nhật Bản - AEON Mall Bình Tân,"Tầng 3,  Tầng 3 AEON Mall Bình Tân, 1 Đường Số 17A, P. Bình Trị Đông, Quận Bình Tân, TP. HCM",10:00 - 21:15,30.000 - 1.200.000,,5.1,5.8,4.8,6.3,6.2,https://www.foody.vn/ho-chi-minh/tasaki-bbq-aeon-mall-binh-tan,TPHCM,Nha Hang,421
