,food_id,rest_id,food_name,food_price
222,1107,924,Đậu hũ hoàng kim,95040.0
223,1107,924,Đậu hũ hoàng kim,95040.0
224,1107,924,Đậu hũ hoàng kim,95040.0
225,1530,924,Tai heo sốt trứ danh San Fu Lou,95040.0
226,1530,924,Tai heo sốt trứ danh San Fu Lou,95040.0
227,1530,924,Tai heo sốt trứ danh San Fu Lou,95040.0
228,1530,924,Tai heo sốt trứ danh San Fu Lou,95040.0
229,834,924,Cà tím gà xé sốt giấm ớt,95040.0
230,834,924,Cà tím gà xé sốt giấm ớt,95040.0
231,834,924,Cà tím gà xé sốt giấm ớt,95040.0
232,834,924,Cà tím gà xé sốt giấm ớt,95040.0
233,1753,924,Súp hải sản chua cay,95040.0
234,1753,924,Súp hải sản chua cay,95040.0
235,1753,924,Súp hải sản chua cay,95040.0
236,1753,924,Súp hải sản chua cay,95040.0
237,414,924,"Sườn heo hầm táo đỏ, xà lách xoong",105840.0
238,414,924,"Sườn heo hầm táo đỏ, xà lách xoong",105840.0
239,414,924,"Sườn heo hầm táo đỏ, xà lách xoong",105840.0
240,414,924,"Sườn heo hầm táo đỏ, xà lách xoong",105840.0
241,1109,924,"Gà tiềm trúc xanh, nấm đông cô",105840.0
242,1109,924,"Gà tiềm trúc xanh, nấm đông cô",105840.0
243,1109,924,"Gà tiềm trúc xanh, nấm đông cô",105840.0
244,1109,924,"Gà tiềm trúc xanh, nấm đông cô",105840.0
245,535,924,Vịt quay kiểu Hong Kong,203040.0
246,535,924,Vịt quay kiểu Hong Kong,203040.0
247,535,924,Vịt quay kiểu Hong Kong,203040.0
248,535,924,Vịt quay kiểu Hong Kong,203040.0
249,283,924,"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",289440.0
250,283,924,"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",289440.0
251,283,924,"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",289440.0
252,283,924,"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",289440.0
253,1531,924,Xá xíu San Fu Lou,181440.0
254,1531,924,Xá xíu San Fu Lou,181440.0
255,1531,924,Xá xíu San Fu Lou,181440.0
256,1531,924,Xá xíu San Fu Lou,181440.0
257,1175,35,YOGGURT DẺO TRUYỀN THỐNG,35000.0
258,1843,35,YOGURT DẺO HẠT ĐÁC CHANH DÂY (hủ),47000.0
259,314,35,YOGURT DẺO HẠT ĐÁC HOA HỒNG (Hủ),47000.0
260,84,35,BÁNH FLAN CARAMEN,35000.0
261,1,35,SỮA CHUA (chai),40000.0
262,1605,35,BÁNH PLAN LÁ DỨA,35000.0
263,958,35,Tàu hủ tả pí lù,32000.0
264,1792,35,Tàu hủ truyền thống,17000.0
265,628,35,Tàu hủ thập cẩm,25000.0
266,1551,35,Tàu hủ bánh flan,27000.0
267,551,29,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
268,551,29,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
269,551,29,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
270,551,29,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
271,1107,29,Đậu hũ hoàng kim,95040.0
