rest_name,rest_address,time_open,price,avg_score,quality_score,price_score,service_score,space_score,location_score,link
Xing Fu Tang Vietnam - Trà Sữa Đài Loan - Thảo Điền,"101 Xa Lộ Hà Nội, P. Thảo Điền, Tp. Thủ Đức, TP. HCM",08:30 - 21:30,40.000 - 70.000,,5.0,5.0,1.0,5.0,7.0,https://www.foody.vn/ho-chi-minh/xing-fu-tang-vietnam-tra-sua-dai-loan-thao-dien
Bánh Mì Má Hải - Vĩnh Viễn,"187 Vĩnh Viễn, P. 4, Quận 10, TP. HCM",06:30 - 20:00,10.000 - 20.000,7.7,7.7,8.1,7.9,6.9,7.9,https://www.foody.vn/ho-chi-minh/banh-mi-ma-hai-vinh-vien
Nét Huế - Thái Hà,"34 - 36 Thái Hà, P. Trung Liệt, Quận Đống Đa, Hà Nội",08:00 - 22:00,50.000 - 150.000,6.9,6.8,6.5,6.5,7.3,7.5,https://www.foody.vn/ha-noi/net-hue-thai-ha
Xing Fu Tang Vietnam - Trà Sữa Đài Loan - Nguyễn Thị Thập,"613 Nguyễn Thị Thập, P. Tân Hưng, Quận 7, TP. HCM",09:00 - 23:00,40.000 - 70.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/xing-fu-tang-vietnam-tra-sua-dai-loan-nguyen-thi-thap
Bánh Mì Má Hải - Phan Văn Trị,"233D Phan Văn Trị, P. 11, Quận Bình Thạnh, TP. HCM",06:00 - 09:00,10.000 - 15.000,6.0,6.0,7.0,6.0,5.0,6.0,https://www.foody.vn/ho-chi-minh/banh-mi-ma-hai-phan-van-tri
Xing Fu Tang Vietnam - Trà Sữa Đài Loan - Hoàng Diệu,"235 Hoàng Diệu, P. 9, Quận 4, TP. HCM",08:45 - 23:00,40.000 - 70.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/xing-fu-tang-vietnam-tra-sua-dai-loan-hoang-dieu
Nét Huế - Nguyễn Văn Huyên,"Lô 4 Nhà D1 KĐT Mới Dịch Vọng Hậu (Ngã Tư Nguyễn Khánh Toàn - Nguyễn Văn Huyên), P. Dịch Vọng, Quận Cầu Giấy, Hà Nội",07:00 - 22:00,50.000 - 150.000,7.3,7.5,7.0,6.5,7.6,7.6,https://www.foody.vn/ha-noi/net-hue-nguyen-khanh-toan
Bánh Mì Má Hải - Lạc Long Quân,"TrướC 339 LạC Long Quân, P. 5, Quận 11, TP. HCM",07:00 - 21:00,10.000 - 15.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/banh-mi-ma-hai-lac-long-quan
Xing Fu Tang Vietnam - Trà Sữa Đài Loan - Lê Văn Việt,"Tầng 1 Vincom Plaza, 50 Lê Văn Việt, P. Hiệp Phú, Tp. Thủ Đức, TP. HCM",09:00 - 22:00,40.000 - 70.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/xing-fu-tang-vietnam-tra-sua-dai-loan-le-van-viet
Bánh Mì Chả Cá Má Hải - Nguyễn Thiện Thuật,"207 Nguyễn Thiện Thuật, P. 1, Quận 3, TP. HCM",06:00 - 09:00,12.000 - 15.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/banh-mi-cha-ca-ma-hai-nguyen-thien-thuat
