name_food,price_food,link_rest
Xá xíu San Fu Lou,181440.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-cao-thang
YOGGURT DẺO TRUYỀN THỐNG,35000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-tran-hung-dao
YOGURT DẺO HẠT ĐÁC CHANH DÂY (hủ),47000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-tran-hung-dao
YOGURT DẺO HẠT ĐÁC HOA HỒNG (Hủ),47000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-tran-hung-dao
BÁNH FLAN CARAMEN,35000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-tran-hung-dao
SỮA CHUA (chai),40000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-tran-hung-dao
BÁNH PLAN LÁ DỨA,35000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-tran-hung-dao
Tàu hủ tả pí lù,32000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-tran-hung-dao
Tàu hủ truyền thống,17000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-tran-hung-dao
Tàu hủ thập cẩm,25000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-tran-hung-dao
Tàu hủ bánh flan,27000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-tran-hung-dao
Hoành thánh chiên giòn với giấm chua ngọt,95040.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-trung-hoa-crescent-mall
Đậu hũ hoàng kim,95040.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-trung-hoa-crescent-mall
Tai heo sốt trứ danh San Fu Lou,95040.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-trung-hoa-crescent-mall
Bắp bò kiểu Quảng Đông,138240.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-trung-hoa-crescent-mall
Cà tím gà xé sốt giấm ớt,95040.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-trung-hoa-crescent-mall
Súp hải sản chua cay,95040.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-trung-hoa-crescent-mall
"Sườn heo hầm táo đỏ, củ sen",105840.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-trung-hoa-crescent-mall
Vịt quay kiểu Hong Kong,246240.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-trung-hoa-crescent-mall
"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",343440.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-trung-hoa-crescent-mall
Xá xíu San Fu Lou,181440.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-trung-hoa-crescent-mall
Tàu hủ tả pí lù,34000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-crescent-mall
Tàu hủ truyền thống,20000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-crescent-mall
Tàu hủ thập cẩm,27000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-crescent-mall
Tàu hủ bánh flan,27000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-crescent-mall
Tàu hủ thập cẩm mít,29000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-crescent-mall
Tàu hủ phô mai,27000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-crescent-mall
Tàu hủ ngũ sắc mít,27000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-crescent-mall
Tàu hũ ngũ sắc,25000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-crescent-mall
Tàu Hủ Xôi Dừa,32000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-crescent-mall
TÀU DƯỠNG NHÃN,37000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-crescent-mall
Tai heo sốt trứ danh San Fu Lou,95040.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-vincom-center
Bắp bò kiểu Quảng Đông,116640.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-vincom-center
"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",289440.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-vincom-center
Vịt quay kiểu Hong Kong,203040.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-vincom-center
Xá xíu San Fu Lou,181440.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-vincom-center
Gà quay sả sốt mè,181440.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-vincom-center
Chân gà hấp tàu xì,64800.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-vincom-center
Há cảo tôm sò điệp 3 pcs,73440.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-vincom-center
"Xíu mại nấm hương thịt cua, trứng cá 3 pcs",62640.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-vincom-center
