rest_id,rest_name,Cate,open_time,close_time,lowest_price,hightest_price,avg_score,quality_score,price_score,service_score,space_score,location_score,rest_address,rest_link
226,Gà rán và Mì Ý - Jollibee - Trần Hưng Đạo - HCM,Nha Hang,09:00,22:00,15.000,44.000,6.9,6.9,7.1,6.4,6.8,7.3,"354 - 356 Trần Hưng Đạo, P. 2, Quận 5, TP. HCM",/ho-chi-minh/ga-ran-va-mi-y-jollibee-tran-hung-dao-hcm
812,Súp Cua Hạnh - Nguyễn Tri Phương,An Vat Via He,07:00,22:00,10.000,22.000,6.2,6.6,5.8,6.1,5.6,6.8,"402 Nguyễn Tri Phương , Quận 10, TP. HCM",/ho-chi-minh/sup-cua-hanh-nguyen-tri-phuong
97,Súp Cua Hạnh - Nguyễn Thái Sơn,An Vat Via He,06:15,22:30,15.000,33.000,6.7,7.1,6.6,6.4,6.4,6.8,"12 Nguyễn Thái Sơn, P. 3, Quận Gò Vấp, TP. HCM",/ho-chi-minh/sup-cua-hanh-nguyen-thai-son
756,Gà rán và Mì Ý - Jollibee - Coop Mart Xa Lộ Hà Nội,Nha Hang,09:00,22:00,15.000,50.000,6.8,6.9,7.0,6.4,6.6,7.1,"Tầng Trệt Coop Mart, 191 Quang Trung, P. Hiệp Phú , Tp. Thủ Đức, TP. HCM",/ho-chi-minh/ga-ran-va-mi-y-jollibee-coop-mart-xa-lo-ha-noi
576,McDonald’s Saigon Supermarket,Nha Hang,07:00,23:00,30.000,100.000,6.7,6.9,6.4,6.2,6.7,7.1,"Siêu Thị Sài Gòn, 460 Đường 3 Tháng 2, P. 12, Quận 10, TP. HCM",/ho-chi-minh/mcdonald-s-saigon-supermarket
396,Súp Cua Hạnh - Đinh Tiên Hoàng,An Vat Via He,15:00,23:00,10.000,22.000,6.6,7.0,6.3,6.7,6.0,7.2,"87C Đinh Tiên Hoàng, P. 3, Quận Bình Thạnh, TP. HCM",/ho-chi-minh/sup-cua-hanh-dinh-tien-hoang
1081,McDonald's - Saigon Centre,Nha Hang,09:30,21:30,50.000,200.000,7.1,7.2,6.9,6.8,7.0,7.6,"Saigon Centre, 65 Lê Lợi, P. Bến Nghé, Quận 1, TP. HCM",/ho-chi-minh/mcdonald-s-saigon-centre
522,Gà rán và Mì Ý - Jollibee - Pasteur,Nha Hang,09:00,22:00,15.000,44.000,6.8,6.8,7.0,6.6,6.6,7.2,"194D Pasteur, P. 6, Quận 3, TP. HCM",/ho-chi-minh/ga-ran-va-mi-y-jollibee-pasteur
1112,Gà rán và Mì Ý - Jollibee - Cộng Hòa,Nha Hang,09:00,22:00,15.000,44.000,7.0,6.8,7.1,6.6,7.0,7.5,"Tầng Trệt,  Tầng Trệt, Vincom Maximark Cộng Hòa, 15 -17 Cộng Hòa, P. 4, Quận Tân Bình, TP. HCM",/ho-chi-minh/ga-ran-va-mi-y-jollibee-cong-hoa
516,McDonald's Tân Sơn Nhất,Nha Hang,10:00,22:00,30.000,80.000,7.2,7.3,7.2,6.8,7.3,7.5,"Ga Quốc Nội Sân Bay Tân Sơn Nhất, Trường Sơn, P. 2, Quận Tân Bình, TP. HCM",/ho-chi-minh/mcdonald-s-tan-son-nhat
977,Súp Cua Hạnh - Liên Tỉnh 5,An Vat Via He,14:00,22:00,20.000,40.000,7.4,8.0,7.5,7.5,6.5,7.5,"108 Liên Tỉnh 5, P. 6, Quận 8, TP. HCM",/ho-chi-minh/sup-cua-hanh-lien-tinh-5
491,Súp Cua Hạnh - Nguyễn Công Trứ,An Vat Via He,06:00,22:00,12.000,22.000,,5.9,5.4,5.3,5.5,6.2,"381 Nguyễn Công Trứ, Quận 1, TP. HCM",/ho-chi-minh/sup-cua-hanh-nguyen-cong-tru
1113,McDonald’s Hoang Dieu,Nha Hang,07:00,23:00,30.000,100.000,6.8,7.1,6.6,6.7,6.8,6.7,"Chung Cư H3, 384 Hoàng Diệu, P. 6, Quận 4, TP. HCM",/ho-chi-minh/mcdonald-s-hoang-dieu
100,Súp Cua Hạnh - Phạm Văn Hai,An Vat Via He,06:15,22:30,20.000,55.000,,5.7,5.0,5.2,5.6,6.1,"95 Phạm Văn Hai, Quận Tân Bình, TP. HCM",/ho-chi-minh/sup-cua-hanh-pham-van-hai
518,McDonald’s Vincom Thu Duc,Nha Hang,11:00,21:00,30.000,1.000,7.7,7.9,7.1,7.8,7.6,7.9,"Vincom Thủ Đức, 216 Võ Văn Ngân, P. Bình Thọ, Tp. Thủ Đức, TP. HCM",/ho-chi-minh/mcdonald-s-vincom-thu-duc
772,Súp Cua Hạnh - Hòa Bình,An Vat Via He,14:00,22:00,25.000,35.000,_._,--,--,--,--,--,"84E Hòa Bình, Quận 11, TP. HCM",/ho-chi-minh/sup-cua-hanh-hoa-binh
1065,Gà rán và Mì Ý - Jollibee - Hòa Hảo,Nha Hang,09:30,21:00,15.000,44.000,6.1,6.1,6.2,5.7,6.0,6.4,"Tầng 3, Coopmart Lý Thường Kiệt, 497 Hòa Hảo, P. 7, Quận 10, TP. HCM",/ho-chi-minh/ga-ran-va-mi-y-jollibee-hoa-hao
587,Súp Cua Hạnh - Lê Đức Thọ,An Vat Via He,07:00,22:30,17.000,20.000,8.0,10.0,10.0,5.0,5.0,10.0,"Lê Đức Thọ, Quận Gò Vấp, TP. HCM",/ho-chi-minh/sup-cua-hanh-le-duc-tho
643,Gà rán và Mì Ý - Jollibee - Hoa Sứ,Nha Hang,09:00,22:00,15.000,44.000,,6.0,6.2,5.3,5.3,6.0,"Tầng 2, Coopmart Rạch Miễu, 48 Hoa Sứ, P. 7 , Quận Phú Nhuận, TP. HCM",/ho-chi-minh/ga-ran-va-mi-y-jollibee-hoa-su
834,Súp Cua Hạnh - Phạm Viết Chánh,An Vat Via He,06:15,22:00,22.000,44.000,8.3,8.6,8.3,8.6,8.3,7.6,"144 Phạm Viết Chánh, Quận 1, TP. HCM",/ho-chi-minh/sup-cua-hanh-pham-viet-chanh
462,Hancook Korean Fast Food - Đường 3 Tháng 2,Nha Hang,09:00,22:00,60.000,165.000,7.0,7.2,7.4,6.7,6.7,6.9,"181/2 Đường 3 Tháng 2, Quận 10, TP. HCM",/ho-chi-minh/hancook-korean-fast-food
978,Sushi Viên Ông Chủ Nhỏ - 78 Nguyễn Tiểu La,An Vat Via He,11:00,21:00,1.000,150.000,,5.8,6.2,6.1,5.6,6.1,"78 NguyễN TiểU La, P. 5, Quận 10, TP. HCM",/ho-chi-minh/sushi-vien-ong-chu-nho-78-nguyen-tieu-la
791,Gà rán và Mì Ý - Jollibee - Nguyễn Thị Minh Khai,Nha Hang,07:00,22:00,20.000,50.000,7.2,7.3,7.1,6.9,7.0,7.8,"Saigon Star Hotel, 204 Nguyễn Thị Minh Khai, Quận 3, TP. HCM",/ho-chi-minh/ga-ran-va-mi-y-jollibee-nguyen-thi-minh-khai
1204,Sushi Viên Ông Chủ Nhỏ - 70B Hậu Giang,An Vat Via He,10:00,22:00,1.000,170.000,,4.3,5.3,4.6,5.0,5.6,"70B Hậu Giang, P. 6, Quận 6, TP. HCM",/ho-chi-minh/sushi-vien-ong-chu-nho-hau-giang
1033,Hancook Korean Fast Food - Nguyễn Tri Phương,Nha Hang,09:00,22:00,15.000,265.000,6.8,6.7,7.1,6.3,6.6,7.2,"263 Nguyễn Tri Phương, P. 5, Quận 10, TP. HCM",/ho-chi-minh/hancook-korean-fast-food-nguyen-tri-phuong
569,Dimsum Homemade - Há Cảo Đặc Biệt - Trần Khắc Chân,An Vat Via He,10:00,22:00,30.000,30.000,6.1,6.1,6.7,5.8,5.7,6.4,"77 Trần Khắc Chân, Quận 1, TP. HCM",/ho-chi-minh/dimsum-homemade-ha-cao-dac-biet-tran-khac-chan
367,Gà rán và Mì Ý - Jollibee - Trường Chinh,Nha Hang,09:00,21:30,20.000,120.000,7.2,7.2,6.9,7.3,7.1,7.4,"360 Trường Chinh, Quận Tân Bình, TP. HCM",/ho-chi-minh/ga-ran-va-mi-y-jollibee-truong-chinh
673,Dimsum Homemade - Há Cảo Đặc Biệt - Shop Online - Phan Văn Trị,An Vat Via He,08:00,22:00,10.000,30.000,,2.7,4.1,3.4,3.9,4.1,"739 Phan Văn Trị, P. 7, Quận Gò Vấp, TP. HCM",/ho-chi-minh/dimsum-homemade-ha-cao-dac-biet-shop-online-phan-van-tri
1201,Hancook Korean Fast Food - Nguyễn Trọng Tuyển,Nha Hang,09:00,22:00,10.000,265.000,7.4,7.0,7.2,7.4,7.9,7.7,"320 Nguyễn Trọng Tuyển, P. 1, Quận Tân Bình, TP. HCM",/ho-chi-minh/hancook-korean-fast-food-nguyen-trong-tuyen
1179,Dimsum Homemade - Há Cảo Đặc Biệt - Nguyễn Gia Trí,An Vat Via He,10:00,22:00,30.000,30.000,7.8,7.4,7.5,8.5,7.6,8.0,"29/12 Nguyễn Gia Trí, P. 25, Quận Bình Thạnh, TP. HCM",/ho-chi-minh/dimsum-homemade-ha-cao-dac-biet-nguyen-gia-tri
157,Hancook Korean Fast Food - Nguyễn Gia Trí,Nha Hang,09:00,22:00,10.000,265.000,9.0,8.4,8.9,9.0,9.3,9.3,"123 Nguyễn Gia Trí, P. 25, Quận Bình Thạnh, TP. HCM",/ho-chi-minh/hancook-korean-fast-food-nguyen-gia-tri
152,Dimsum Homemade - Há Cảo Ngũ Sắc - Nguyễn Thị Nhỏ,An Vat Via He,11:00,22:00,30.000,30.000,6.3,6.5,6.5,6.5,5.8,6.3,"164C Nguyễn Thị Nhỏ, P. 15, Quận 11, TP. HCM",/ho-chi-minh/dimsum-homemade-ha-cao-ngu-sac-nguyen-thi-nho
274,Gà rán và Mì Ý - Jollibee - Quốc Lộ 13,Nha Hang,09:00,21:00,15.000,50.000,7.2,6.9,7.3,7.6,6.9,7.4,"68/1 Quốc Lộ 13, P. Hiệp Bình Chánh, Tp. Thủ Đức, TP. HCM",/ho-chi-minh/ga-ran-va-mi-y-jollibee-quoc-lo-13
